location,target,forecast_date,value,type,target_end_date,quantile
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.01
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.025
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.05
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.1
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.15
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.2
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.25
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.3
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.35
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.4
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.45
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.5
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.55
Alabama,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.6
Alabama,May WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-05-31,0.65
Alabama,May WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-05-31,0.7
Alabama,May WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-05-31,0.75
Alabama,May WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-05-31,0.8
Alabama,May WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-05-31,0.85
Alabama,May WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-05-31,0.9
Alabama,May WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-05-31,0.95
Alabama,May WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-05-31,0.975
Alabama,May WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-05-31,0.99
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.01
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.025
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.05
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.1
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.15
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.2
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.25
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.3
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.35
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.4
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.45
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.5
Alabama,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.55
Alabama,June WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-06-30,0.6
Alabama,June WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-06-30,0.65
Alabama,June WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-06-30,0.7
Alabama,June WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-06-30,0.75
Alabama,June WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-06-30,0.8
Alabama,June WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-06-30,0.85
Alabama,June WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-06-30,0.9
Alabama,June WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-06-30,0.95
Alabama,June WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-06-30,0.975
